"","year","date","location","result","team","conf","opp","opp_conf","tpm","tpa","tp_pct","round"
"1",2024,2024-04-08,"N","W","Connecticut","BE","Purdue","B10",6,22,0.272727272727273,"6. CHAMPIONSHIP"
"2",2024,2024-04-08,"N","L","Purdue","B10","Connecticut","BE",1,7,0.142857142857143,"6. CHAMPIONSHIP"
"3",2024,2024-04-06,"N","L","Alabama","SEC","Connecticut","BE",11,23,0.478260869565217,"5. FINAL FOUR"
"4",2024,2024-04-06,"N","W","Connecticut","BE","Alabama","SEC",10,25,0.4,"5. FINAL FOUR"
"5",2024,2024-04-06,"N","L","North Carolina St.","ACC","Purdue","B10",5,19,0.263157894736842,"5. FINAL FOUR"
"6",2024,2024-04-06,"N","W","Purdue","B10","North Carolina St.","ACC",10,25,0.4,"5. FINAL FOUR"
"7",2024,2024-03-31,"N","L","Duke","ACC","North Carolina St.","ACC",5,20,0.25,"4. ELITE EIGHT"
"8",2024,2024-03-31,"N","W","North Carolina St.","ACC","Duke","ACC",3,13,0.230769230769231,"4. ELITE EIGHT"
"9",2024,2024-03-31,"N","W","Purdue","B10","Tennessee","SEC",3,15,0.2,"4. ELITE EIGHT"
"10",2024,2024-03-31,"N","L","Tennessee","SEC","Purdue","B10",11,26,0.423076923076923,"4. ELITE EIGHT"
"11",2024,2024-03-30,"N","W","Alabama","SEC","Clemson","ACC",16,36,0.444444444444444,"4. ELITE EIGHT"
"12",2024,2024-03-30,"N","L","Clemson","ACC","Alabama","SEC",8,26,0.307692307692308,"4. ELITE EIGHT"
"13",2024,2024-03-30,"N","W","Connecticut","BE","Illinois","B10",3,17,0.176470588235294,"4. ELITE EIGHT"
"14",2024,2024-03-30,"N","L","Illinois","B10","Connecticut","BE",6,23,0.260869565217391,"4. ELITE EIGHT"
"15",2024,2024-03-29,"N","L","Creighton","BE","Tennessee","SEC",11,23,0.478260869565217,"3. SWEET SIXTEEN"
"16",2024,2024-03-29,"N","W","Tennessee","SEC","Creighton","BE",11,24,0.458333333333333,"3. SWEET SIXTEEN"
"17",2024,2024-03-29,"N","W","Duke","ACC","Houston","B12",6,17,0.352941176470588,"3. SWEET SIXTEEN"
"18",2024,2024-03-29,"N","L","Houston","B12","Duke","ACC",2,8,0.25,"3. SWEET SIXTEEN"
"19",2024,2024-03-29,"N","L","Gonzaga","WCC","Purdue","B10",6,19,0.31578947368421,"3. SWEET SIXTEEN"
"20",2024,2024-03-29,"N","W","Purdue","B10","Gonzaga","WCC",9,20,0.45,"3. SWEET SIXTEEN"
"21",2024,2024-03-29,"N","L","Marquette","BE","North Carolina St.","ACC",4,31,0.129032258064516,"3. SWEET SIXTEEN"
"22",2024,2024-03-29,"N","W","North Carolina St.","ACC","Marquette","BE",9,23,0.391304347826087,"3. SWEET SIXTEEN"
"23",2024,2024-03-28,"N","W","Alabama","SEC","North Carolina","ACC",11,26,0.423076923076923,"3. SWEET SIXTEEN"
"24",2024,2024-03-28,"N","L","North Carolina","ACC","Alabama","SEC",12,32,0.375,"3. SWEET SIXTEEN"
"25",2024,2024-03-28,"N","L","Arizona","P12","Clemson","ACC",5,28,0.178571428571429,"3. SWEET SIXTEEN"
"26",2024,2024-03-28,"N","W","Clemson","ACC","Arizona","P12",8,25,0.32,"3. SWEET SIXTEEN"
"27",2024,2024-03-28,"N","W","Connecticut","BE","San Diego St.","MWC",10,26,0.384615384615385,"3. SWEET SIXTEEN"
"28",2024,2024-03-28,"N","L","San Diego St.","MWC","Connecticut","BE",5,22,0.227272727272727,"3. SWEET SIXTEEN"
"29",2024,2024-03-28,"N","W","Illinois","B10","Iowa St.","B12",9,29,0.310344827586207,"3. SWEET SIXTEEN"
"30",2024,2024-03-28,"N","L","Iowa St.","B12","Illinois","B10",6,13,0.461538461538462,"3. SWEET SIXTEEN"
"31",2024,2024-03-24,"N","W","Alabama","SEC","Grand Canyon","WAC",8,31,0.258064516129032,"2. ROUND OF 32"
"32",2024,2024-03-24,"N","L","Grand Canyon","WAC","Alabama","SEC",2,20,0.1,"2. ROUND OF 32"
"33",2024,2024-03-24,"N","L","Baylor","B12","Clemson","ACC",6,24,0.25,"2. ROUND OF 32"
"34",2024,2024-03-24,"N","W","Clemson","ACC","Baylor","B12",6,17,0.352941176470588,"2. ROUND OF 32"
"35",2024,2024-03-24,"N","L","Colorado","P12","Marquette","BE",10,30,0.333333333333333,"2. ROUND OF 32"
"36",2024,2024-03-24,"N","W","Marquette","BE","Colorado","P12",9,21,0.428571428571429,"2. ROUND OF 32"
"37",2024,2024-03-24,"N","W","Connecticut","BE","Northwestern","B10",3,22,0.136363636363636,"2. ROUND OF 32"
"38",2024,2024-03-24,"N","L","Northwestern","B10","Connecticut","BE",4,15,0.266666666666667,"2. ROUND OF 32"
"39",2024,2024-03-24,"N","W","Duke","ACC","James Madison","SB",14,28,0.5,"2. ROUND OF 32"
"40",2024,2024-03-24,"N","L","James Madison","SB","Duke","ACC",4,18,0.222222222222222,"2. ROUND OF 32"
"41",2024,2024-03-24,"N","W","Houston","B12","Texas A&M","SEC",11,34,0.323529411764706,"2. ROUND OF 32"
"42",2024,2024-03-24,"N","L","Texas A&M","SEC","Houston","B12",8,23,0.347826086956522,"2. ROUND OF 32"
"43",2024,2024-03-24,"N","W","Purdue","B10","Utah St.","MWC",11,23,0.478260869565217,"2. ROUND OF 32"
"44",2024,2024-03-24,"N","L","Utah St.","MWC","Purdue","B10",9,27,0.333333333333333,"2. ROUND OF 32"
"45",2024,2024-03-24,"N","W","San Diego St.","MWC","Yale","Ivy",13,27,0.481481481481481,"2. ROUND OF 32"
"46",2024,2024-03-24,"N","L","Yale","Ivy","San Diego St.","MWC",7,19,0.368421052631579,"2. ROUND OF 32"
"47",2024,2024-03-23,"N","W","Arizona","P12","Dayton","A10",8,18,0.444444444444444,"2. ROUND OF 32"
"48",2024,2024-03-23,"N","L","Dayton","A10","Arizona","P12",7,24,0.291666666666667,"2. ROUND OF 32"
"49",2024,2024-03-23,"N","W","Creighton","BE","Oregon","P12",15,39,0.384615384615385,"2. ROUND OF 32"
"50",2024,2024-03-23,"N","L","Oregon","P12","Creighton","BE",7,21,0.333333333333333,"2. ROUND OF 32"
"51",2024,2024-03-23,"N","L","Duquesne","A10","Illinois","B10",5,17,0.294117647058824,"2. ROUND OF 32"
"52",2024,2024-03-23,"N","W","Illinois","B10","Duquesne","A10",7,21,0.333333333333333,"2. ROUND OF 32"
"53",2024,2024-03-23,"N","W","Gonzaga","WCC","Kansas","B12",8,15,0.533333333333333,"2. ROUND OF 32"
"54",2024,2024-03-23,"N","L","Kansas","B12","Gonzaga","WCC",9,22,0.409090909090909,"2. ROUND OF 32"
"55",2024,2024-03-23,"N","W","Iowa St.","B12","Washington St.","P12",7,14,0.5,"2. ROUND OF 32"
"56",2024,2024-03-23,"N","L","Washington St.","P12","Iowa St.","B12",5,23,0.217391304347826,"2. ROUND OF 32"
"57",2024,2024-03-23,"N","L","Michigan St.","B10","North Carolina","ACC",6,16,0.375,"2. ROUND OF 32"
"58",2024,2024-03-23,"N","W","North Carolina","ACC","Michigan St.","B10",10,26,0.384615384615385,"2. ROUND OF 32"
"59",2024,2024-03-23,"N","W","North Carolina St.","ACC","Oakland","Horz",9,26,0.346153846153846,"2. ROUND OF 32"
"60",2024,2024-03-23,"N","L","Oakland","Horz","North Carolina St.","ACC",12,35,0.342857142857143,"2. ROUND OF 32"
"61",2024,2024-03-23,"N","W","Tennessee","SEC","Texas","B12",3,25,0.12,"2. ROUND OF 32"
"62",2024,2024-03-23,"N","L","Texas","B12","Tennessee","SEC",7,23,0.304347826086957,"2. ROUND OF 32"
"63",2024,2024-03-22,"N","W","Alabama","SEC","College of Charleston","CAA",13,23,0.565217391304348,"1. ROUND OF 64"
"64",2024,2024-03-22,"N","L","College of Charleston","CAA","Alabama","SEC",10,33,0.303030303030303,"1. ROUND OF 64"
"65",2024,2024-03-22,"N","L","Auburn","SEC","Yale","Ivy",7,20,0.35,"1. ROUND OF 64"
